iter	RMSE
0	8723.348102
1	8125.620066
2	7567.345896
3	7057.396088
4	6599.114185
5	6158.72231
6	5759.867411
7	5393.357882
8	5058.360435
9	4746.690612
10	4466.654954
11	4208.704507
12	3973.860983
13	3757.064486
14	3567.077377
15	3391.015172
16	3228.41287
17	3083.718464
18	2955.369278
19	2841.382897
20	2736.754354
21	2644.757405
22	2559.255175
23	2483.551791
24	2416.118882
25	2355.988247
26	2299.841425
27	2250.597161
28	2206.15907
29	2167.501667
30	2131.748983
31	2101.643312
32	2073.576652
33	2048.04649
34	2023.975331
35	2004.331573
36	1985.171005
37	1968.380688
38	1952.922338
39	1939.201399
40	1925.101771
41	1921.043911
42	1910.502722
43	1906.690896
44	1902.707978
45	1898.989078
46	1889.342398
47	1879.277088
48	1875.768751
49	1871.935588
50	1869.260436
51	1866.424559
52	1856.726593
53	1853.683111
54	1845.257144
55	1842.389345
56	1839.218715
57	1831.199298
58	1828.213568
59	1825.658322
60	1822.893424
61	1820.973364
62	1818.672367
63	1811.848839
64	1809.666207
65	1807.086406
66	1804.793747
67	1797.091116
68	1795.155151
69	1792.925659
70	1790.810917
71	1789.134601
72	1783.49161
73	1781.653586
74	1779.904668
75	1776.950897
76	1770.837471
77	1768.236864
78	1761.648963
79	1759.283301
80	1753.919071
81	1749.771794
82	1747.813197
83	1743.621908
84	1742.590495
85	1739.174488
86	1737.954587
87	1735.583713
88	1731.037227
89	1728.658896
90	1727.519661
91	1723.654136
92	1722.464993
93	1721.509945
94	1716.752883
95	1715.731222
96	1713.181984
97	1711.814844
98	1710.291457
99	1709.425207
100	1706.291314
101	1702.834821
102	1701.964697
103	1700.946103
104	1700.220147
105	1699.384982
106	1697.931032
107	1697.174676
108	1694.692517
109	1691.725624
110	1687.609334
111	1686.958932
112	1686.254305
113	1683.442497
114	1682.436437
115	1681.781883
116	1680.85983
117	1680.278877
118	1679.569534
119	1677.582728
120	1677.051888
121	1676.018308
122	1675.164879
123	1673.004494
124	1672.518106
125	1671.431138
126	1670.899005
127	1669.417349
128	1668.477184
129	1665.465157
130	1665.041682
131	1663.661569
132	1662.489224
133	1661.088274
134	1657.753569
135	1655.459456
136	1654.777775
137	1651.424303
138	1650.1095
139	1647.812727
140	1647.274191
141	1646.593901
142	1645.88375
143	1644.345044
144	1643.674237
145	1643.186787
146	1642.727887
147	1642.341974
148	1641.236606
149	1640.912617
150	1638.574116
151	1638.180737
152	1636.669353
153	1636.368235
154	1635.592332
155	1635.154075
156	1634.830834
157	1633.479514
158	1633.162645
159	1632.858087
160	1630.624587
161	1629.695307
162	1629.437201
163	1629.18353
164	1628.946283
165	1627.861674
166	1627.624239
167	1625.079807
168	1622.760283
169	1621.93806
170	1621.648853
171	1620.88154
172	1620.659529
173	1620.416005
174	1618.663562
175	1616.916058
176	1616.528232
177	1616.324781
178	1612.453937
179	1611.796721
180	1611.543753
181	1610.574935
182	1609.938558
183	1608.692197
184	1608.368699
185	1607.593459
186	1606.762102
187	1605.506991
188	1605.290952
189	1604.06054
190	1603.853975
191	1603.680167
192	1602.924106
193	1602.617652
194	1601.662936
195	1599.806582
196	1598.894373
197	1598.727349
198	1598.541422
199	1597.792856
200	1597.433055
201	1596.806055
202	1596.650648
203	1593.425117
204	1593.158388
205	1592.986314
206	1590.962042
207	1589.86095
208	1589.444169
209	1589.258616
210	1588.250227
211	1586.703366
212	1586.564004
213	1583.562049
214	1582.051007
215	1581.833785
216	1581.42952
217	1581.098769
218	1580.927447
219	1578.131704
220	1576.619167
221	1576.416524
222	1575.534862
223	1575.345665
224	1575.171033
225	1574.422628
226	1574.064502
227	1573.276592
228	1572.373474
229	1569.613938
230	1568.8473
231	1567.5929
232	1567.39075
233	1565.961914
234	1565.845081
235	1565.384525
236	1565.177695
237	1565.057172
238	1564.184873
239	1564.029329
240	1563.264106
241	1562.221241
242	1561.426504
243	1561.280657
244	1561.097091
245	1559.991412
246	1559.807448
247	1559.000418
248	1558.487861
249	1558.348985
250	1557.762598
251	1557.544223
252	1557.08003
253	1556.407487
254	1556.298404
255	1555.887895
256	1554.996625
257	1553.415786
258	1553.310352
259	1553.10742
260	1552.7181
261	1552.61632
262	1551.7726
263	1551.351997
264	1551.194163
265	1551.095994
266	1550.521418
267	1550.17799
268	1550.082748
269	1548.88532
270	1548.230825
271	1547.766793
272	1546.468346
273	1546.322233
274	1545.873662
275	1545.781432
276	1544.978552
277	1544.094383
278	1544.003907
279	1543.920483
280	1543.089417
281	1542.397081
282	1541.89636
283	1540.88617
284	1540.748732
285	1540.294208
286	1539.356475
287	1539.269098
288	1538.724812
289	1538.439239
290	1537.821641
291	1537.267324
292	1536.831525
293	1536.746596
294	1536.664072
295	1536.239298
296	1535.365576
297	1535.095314
298	1534.442582
299	1533.991627
300	1533.91097
301	1533.774783
302	1533.122029
303	1532.762407
304	1532.683793
305	1532.487506
306	1532.410333
307	1532.123313
308	1532.048811
309	1531.50248
310	1531.252536
311	1531.040721
312	1530.595375
313	1530.04
314	1529.96723
315	1529.848581
316	1528.772965
317	1527.958233
318	1527.712034
319	1527.638976
320	1527.303196
321	1526.849506
322	1526.413745
323	1526.34484
324	1525.956874
325	1525.8444
326	1525.608723
327	1525.10207
328	1524.384194
329	1524.202877
330	1523.939834
331	1523.097899
332	1523.028007
333	1522.959616
334	1522.540862
335	1521.693149
336	1521.396697
337	1520.869696
338	1520.763059
339	1520.444363
340	1520.378314
341	1519.873857
342	1519.496354
343	1518.994111
344	1518.406678
345	1518.343266
346	1518.241866
347	1518.179162
348	1517.743228
349	1517.587833
350	1517.329588
351	1517.267619
352	1517.171518
353	1516.673345
354	1516.29845
355	1516.029842
356	1515.555922
357	1515.180217
358	1515.11899
359	1514.66181
360	1513.061797
361	1513.001795
362	1512.611754
363	1512.520575
364	1512.120772
365	1511.807378
366	1511.56449
367	1511.507246
368	1511.363699
369	1511.061414
370	1511.004381
371	1510.712701
372	1510.367891
373	1509.689842
374	1509.39653
375	1509.081563
376	1508.971136
377	1508.914092
378	1508.828965
379	1508.359423
380	1508.137183
381	1508.081571
382	1507.691587
383	1506.302379
384	1505.794452
385	1505.373686
386	1504.913691
387	1504.819136
388	1504.764773
389	1504.480065
390	1504.284179
391	1503.96939
392	1503.916047
393	1503.798118
394	1503.745745
395	1503.362874
396	1503.212269
397	1503.160733
398	1502.829632
399	1502.569659
400	1502.397559
401	1502.326124
402	1502.275614
403	1502.196453
404	1502.143322
405	1502.091651
406	1502.041216
407	1501.991928
408	1501.78566
409	1501.576161
410	1501.400715
411	1501.352646
412	1501.250793
413	1500.57202
414	1500.236846
415	1500.190414
416	1500.144006
417	1499.775066
418	1499.582383
419	1499.5113
420	1499.161054
421	1498.800367
422	1498.755103
423	1498.430601
424	1498.307852
425	1497.824233
426	1497.777989
427	1497.733103
428	1497.11875
429	1496.776281
430	1496.540652
431	1496.257328
432	1496.188466
433	1495.868664
434	1495.527639
435	1495.398305
436	1495.199588
437	1494.890049
438	1494.704246
439	1494.328442
440	1494.257127
441	1493.715096
442	1493.670934
443	1492.406993
444	1492.363548
445	1492.075886
446	1491.791978
447	1491.648306
448	1491.326744
449	1491.2724
450	1490.864787
451	1490.548017
452	1490.452645
453	1490.410251
454	1490.152045
455	1489.757338
456	1489.643011
457	1489.450795
458	1489.408513
459	1489.286452
460	1489.1085
461	1489.056148
462	1488.862511
463	1488.360127
464	1487.896454
465	1487.854905
466	1487.597181
467	1487.534376
468	1487.465774
469	1487.30108
470	1487.259433
471	1487.091331
472	1486.818963
473	1486.778497
474	1486.576507
475	1486.307783
476	1485.712417
477	1485.412857
478	1485.224193
479	1485.099398
480	1485.04121
481	1485.00158
482	1484.761327
483	1484.722307
484	1484.595534
485	1484.099838
486	1483.841881
487	1483.778725
488	1483.596926
489	1483.266941
490	1482.874926
491	1482.616809
492	1482.578536
493	1482.060834
494	1481.941628
495	1481.500079
496	1481.437256
497	1481.276343
498	1481.16852
499	1481.036549
500	1480.830137
501	1480.190644
502	1479.333063
503	1479.295272
504	1479.064199
505	1479.026909
506	1478.73611
507	1478.701193
508	1478.506867
509	1478.320551
510	1477.672234
511	1477.540535
512	1477.289692
513	1476.886576
514	1476.786684
515	1476.616779
516	1476.495198
517	1476.459
518	1476.005963
519	1475.50378
520	1475.003054
521	1474.967181
522	1474.912393
523	1474.806542
524	1474.50559
525	1474.199226
526	1474.165736
527	1474.102371
528	1473.660162
529	1473.332334
530	1472.810404
531	1472.705389
532	1472.515213
533	1472.479979
534	1472.302487
535	1472.049038
536	1471.794539
537	1471.740662
538	1471.443489
539	1470.826767
540	1470.716288
541	1470.634136
542	1470.599739
543	1470.372289
544	1470.338455
545	1470.251833
546	1470.047403
547	1470.01084
548	1469.78271
549	1469.751428
550	1469.520454
551	1469.431307
552	1469.170448
553	1469.119987
554	1468.832283
555	1468.703594
556	1468.404966
557	1468.167355
558	1467.878412
559	1467.760024
560	1467.609891
561	1467.577484
562	1467.470078
563	1467.090531
564	1467.012614
565	1466.870475
566	1466.453804
567	1466.351698
568	1466.023358
569	1465.95816
570	1465.757323
571	1465.431469
572	1465.399165
573	1465.349258
574	1465.246504
575	1465.09179
576	1464.872127
577	1464.524289
578	1464.49239
579	1464.276201
580	1464.068259
581	1463.726347
582	1463.424938
583	1463.330017
584	1463.235248
585	1463.20388
586	1463.105055
587	1462.858361
588	1462.504497
589	1462.312528
590	1462.125625
591	1461.896123
592	1461.865148
593	1461.644585
594	1461.567534
595	1461.506061
596	1460.521514
597	1460.338267
