iter	Passed	Remaining
0	160	160049
1	174	86880
2	187	62373
3	202	50341
4	216	43040
5	230	38268
6	245	34807
7	259	32217
8	273	30161
9	287	28472
10	302	27176
11	316	26033
12	330	25090
13	344	24271
14	358	23562
15	372	22921
16	387	22420
17	401	21883
18	415	21434
19	429	21026
20	442	20605
21	456	20293
22	470	19983
23	484	19701
24	499	19466
25	513	19243
26	527	18998
27	540	18758
28	553	18525
29	567	18334
30	580	18144
31	593	17953
32	606	17785
33	620	17627
34	633	17472
35	646	17321
36	660	17190
37	673	17059
38	686	16928
39	699	16795
40	712	16673
41	725	16547
42	738	16432
43	751	16329
44	764	16229
45	777	16132
46	790	16037
47	803	15939
48	816	15842
49	828	15749
50	841	15658
51	854	15571
52	867	15498
53	880	15417
54	893	15344
55	906	15281
56	919	15208
57	932	15139
58	945	15074
59	957	15004
60	971	14949
61	984	14890
62	996	14821
63	1009	14769
64	1022	14709
65	1045	14791
66	1058	14739
67	1072	14696
68	1085	14641
69	1098	14588
70	1111	14548
71	1124	14490
72	1137	14442
73	1151	14406
74	1164	14361
75	1178	14325
76	1191	14286
77	1205	14243
78	1219	14214
79	1233	14182
80	1246	14147
81	1260	14106
82	1273	14065
83	1286	14030
84	1299	13990
85	1313	13956
86	1325	13906
87	1337	13861
88	1350	13824
89	1363	13788
90	1379	13779
91	1395	13773
92	1410	13760
93	1423	13719
94	1436	13688
95	1449	13653
96	1462	13618
97	1476	13587
98	1489	13557
99	1502	13518
100	1515	13493
101	1529	13462
102	1542	13431
103	1555	13398
104	1567	13364
105	1580	13327
106	1593	13303
107	1607	13273
108	1620	13246
109	1634	13224
110	1647	13195
111	1660	13163
112	1673	13134
113	1687	13114
114	1700	13086
115	1713	13059
116	1726	13030
117	1740	13009
118	1753	12982
119	1766	12955
120	1779	12923
121	1792	12899
122	1805	12870
123	1818	12845
124	1831	12820
125	1844	12795
126	1857	12771
127	1870	12742
128	1883	12717
129	1896	12691
130	1909	12664
131	1921	12638
132	1935	12616
133	1948	12589
134	1960	12564
135	1974	12542
136	1987	12518
137	2000	12493
138	2013	12469
139	2025	12445
140	2039	12424
141	2052	12402
142	2065	12380
143	2079	12358
144	2092	12337
145	2105	12315
146	2119	12297
147	2131	12271
148	2146	12256
149	2159	12234
150	2172	12214
151	2185	12193
152	2198	12171
153	2212	12152
154	2224	12128
155	2238	12110
156	2251	12091
157	2264	12070
158	2277	12046
159	2290	12026
160	2303	12004
161	2316	11983
162	2329	11961
163	2341	11935
164	2354	11917
165	2369	11902
166	2381	11879
167	2394	11857
168	2407	11840
169	2421	11820
170	2434	11801
171	2447	11782
172	2460	11762
173	2473	11741
174	2485	11717
175	2499	11701
176	2512	11680
177	2525	11661
178	2539	11646
179	2552	11626
180	2566	11611
181	2579	11592
182	2593	11576
183	2606	11558
184	2618	11537
185	2630	11513
186	2644	11495
187	2657	11478
188	2676	11486
189	2690	11471
190	2703	11451
191	2717	11434
192	2730	11415
193	2743	11399
194	2757	11382
195	2770	11365
196	2783	11346
197	2797	11329
198	2810	11310
199	2823	11295
200	2837	11279
201	2850	11259
202	2862	11239
203	2875	11221
204	2889	11204
205	2901	11183
206	2915	11167
207	2928	11150
208	2942	11134
209	2954	11115
210	2967	11095
211	2980	11078
212	2993	11060
213	3007	11044
214	3020	11027
215	3033	11009
216	3046	10991
217	3059	10973
218	3072	10957
219	3085	10940
220	3099	10925
221	3113	10912
222	3126	10895
223	3139	10877
224	3152	10859
225	3165	10842
226	3179	10825
227	3192	10809
228	3206	10797
229	3221	10784
230	3234	10767
231	3247	10749
232	3260	10732
233	3272	10713
234	3286	10698
235	3299	10681
236	3311	10661
237	3324	10644
238	3338	10629
239	3351	10613
240	3364	10595
241	3378	10581
242	3391	10565
243	3404	10548
244	3417	10531
245	3430	10515
246	3444	10499
247	3458	10485
248	3471	10468
249	3484	10453
250	3498	10440
251	3512	10425
252	3524	10406
253	3538	10392
254	3551	10377
255	3565	10361
256	3579	10347
257	3592	10331
258	3605	10313
259	3617	10296
260	3630	10279
261	3644	10265
262	3658	10251
263	3670	10233
264	3683	10217
265	3697	10201
266	3709	10184
267	3723	10169
268	3735	10152
269	3748	10135
270	3762	10120
271	3775	10106
272	3790	10093
273	3803	10076
274	3816	10061
275	3828	10043
276	3842	10028
277	3855	10013
278	3867	9995
279	3880	9978
280	3894	9964
281	3907	9949
282	3920	9933
283	3934	9920
284	3947	9904
285	3961	9890
286	3974	9875
287	3988	9859
288	4001	9844
289	4014	9829
290	4029	9816
291	4043	9803
292	4055	9786
293	4068	9769
294	4081	9753
295	4095	9739
296	4108	9724
297	4121	9708
298	4135	9695
299	4149	9681
300	4161	9665
301	4174	9648
302	4188	9635
303	4202	9621
304	4216	9607
305	4229	9592
306	4242	9576
307	4255	9560
308	4269	9547
309	4282	9533
310	4297	9520
311	4310	9505
312	4323	9490
313	4337	9477
314	4350	9460
315	4363	9444
316	4377	9430
317	4390	9416
318	4403	9399
319	4416	9385
320	4430	9371
321	4443	9355
322	4456	9340
323	4469	9324
324	4482	9310
325	4495	9295
326	4509	9281
327	4524	9269
328	4537	9253
329	4549	9237
330	4562	9222
331	4576	9207
332	4589	9193
333	4602	9177
334	4616	9164
335	4629	9149
336	4642	9133
337	4656	9119
338	4669	9103
339	4681	9087
340	4694	9072
341	4708	9059
342	4721	9044
343	4734	9028
344	4747	9013
345	4760	8998
346	4774	8984
347	4787	8969
348	4800	8955
349	4814	8940
350	4826	8924
351	4839	8909
352	4852	8894
353	4865	8878
354	4878	8864
355	4892	8849
356	4905	8835
357	4918	8820
358	4932	8806
359	4945	8792
360	4959	8779
361	4972	8763
362	4986	8749
363	4998	8733
364	5011	8718
365	5024	8702
366	5038	8689
367	5051	8676
368	5065	8661
369	5078	8646
370	5090	8630
371	5103	8616
372	5117	8601
373	5130	8586
374	5141	8569
375	5155	8555
376	5168	8541
377	5181	8526
378	5194	8511
379	5207	8496
380	5221	8483
381	5234	8467
382	5247	8453
383	5260	8439
384	5273	8424
385	5286	8409
386	5299	8395
387	5312	8380
388	5326	8366
389	5339	8351
390	5352	8336
391	5366	8323
392	5380	8309
393	5393	8295
394	5406	8280
395	5419	8265
396	5432	8250
397	5445	8236
398	5458	8221
399	5471	8207
400	5483	8191
401	5497	8177
402	5510	8163
403	5523	8149
404	5536	8133
405	5549	8118
406	5562	8104
407	5575	8089
408	5588	8074
409	5600	8059
410	5613	8044
411	5626	8029
412	5639	8014
413	5651	8000
414	5665	7986
415	5679	7972
416	5692	7958
417	5706	7944
418	5719	7930
419	5733	7917
420	5746	7903
421	5759	7889
422	5772	7873
423	5785	7859
424	5799	7846
425	5813	7832
426	5825	7817
427	5838	7803
428	5852	7789
429	5864	7774
430	5877	7759
431	5891	7746
432	5904	7731
433	5917	7717
434	5931	7703
435	5944	7689
436	5957	7675
437	5972	7663
438	5986	7650
439	5999	7635
440	6012	7620
441	6026	7608
442	6039	7593
443	6053	7580
444	6066	7566
445	6078	7550
446	6091	7535
447	6104	7521
448	6117	7507
449	6129	7491
450	6143	7478
451	6157	7464
452	6170	7450
453	6183	7437
454	6196	7422
455	6209	7408
456	6223	7394
457	6236	7380
458	6249	7366
459	6262	7351
460	6276	7338
461	6289	7324
462	6303	7310
463	6316	7296
464	6329	7282
465	6342	7267
466	6355	7253
467	6368	7239
468	6382	7225
469	6395	7211
470	6407	7196
471	6421	7182
472	6435	7169
473	6447	7154
474	6460	7140
475	6474	7127
476	6488	7113
477	6501	7099
478	6515	7086
479	6529	7073
480	6542	7059
481	6555	7045
482	6568	7030
483	6580	7015
484	6593	7001
485	6607	6987
486	6620	6974
487	6633	6959
488	6647	6946
489	6659	6931
490	6673	6917
491	6686	6904
492	6699	6889
493	6712	6875
494	6726	6862
495	6741	6849
496	6754	6836
497	6767	6821
498	6780	6807
499	6793	6793
500	6807	6779
501	6821	6766
502	6834	6753
503	6847	6739
504	6862	6726
505	6875	6712
506	6888	6698
507	6902	6684
508	6915	6670
509	6927	6655
510	6941	6642
511	6954	6628
512	6967	6614
513	6980	6600
514	6994	6587
515	7008	6573
516	7021	6559
517	7035	6546
518	7048	6532
519	7061	6518
520	7075	6504
521	7088	6490
522	7100	6475
523	7113	6462
524	7127	6448
525	7140	6434
526	7153	6420
527	7165	6405
528	7178	6391
529	7192	6378
530	7205	6364
531	7219	6350
532	7231	6336
533	7244	6322
534	7257	6307
535	7270	6293
536	7282	6279
537	7295	6265
538	7309	6252
539	7322	6238
540	7336	6224
541	7349	6210
542	7362	6196
543	7375	6182
544	7388	6168
545	7401	6154
546	7414	6140
547	7427	6126
548	7440	6112
549	7454	6099
550	7467	6084
551	7480	6071
552	7495	6058
553	7507	6044
554	7520	6029
555	7532	6015
556	7546	6002
557	7560	5988
558	7574	5975
559	7589	5962
560	7602	5948
561	7614	5934
562	7628	5921
563	7641	5907
564	7655	5893
565	7668	5880
566	7682	5866
567	7694	5852
